Step,Time (s),Particle Count,Err,M0 (m-3),Err,Equiv. Sphere Diameter (m),Err,Collision Diameter (m),Err,Mobility Diameter (m),Err,Surface Area (m2/m3),Err,Avg. Surface Area (m2),Err,Fv (-),Err,Avg. Volume (m3),Err,Mass (kg/m3),Err,Avg. Mass (kg),Err,Mass2 (kg2/m6),Err,Mass3 (kg3/m9),Err,Avg num coags (-),Err,Max num coags (-),Err,silica,Err,Avg. silica,Err,Number of Si atoms (cm-3),Err,Number of O atoms (cm-3),Err,Number of OH atoms (cm-3),Err,Avg. Number of Primaries per Particle (-),Err,Avg. Primary Diameter (nm),Err,Avg. Sintering Level (-),Err,Avg. Particle Mass (kg),Err,Avg. Sintering Rate (m2/s),Err,Avg. Sintering Time (s),Err,Avg. Create Time (s),Err,Avg. Si:O ratio (-),Err
49,0.49,4096,0,6.08558e+14,0,8.85825e-09,0,9.46555e-09,0,9.46555e-09,0,0.189782,0,3.11856e-16,0,2.89508e-10,0,4.75727e-25,0,6.36917e-07,0,1.0466e-21,0,1.37097e-27,0,4.94992e-48,0,1.98237,0,15,0,6.321e+12,0,10386.8,0,6.321e+12,0,1.21097e+13,0,7.27449e+11,0,1.44171,0,7.88754,0,0.0627705,0,1.0466e-21,0,9.36934e-17,0,0.49,0,0,0,0.489673,0
50,0.5,4096,0,5.95937e+14,0,8.9156e-09,0,9.5457e-09,0,9.5457e-09,0,0.189089,0,3.17297e-16,0,2.89488e-10,0,4.85769e-25,0,6.36873e-07,0,1.06869e-21,0,1.40332e-27,0,5.19237e-48,0,2.01552,0,15,0,6.321e+12,0,10606.8,0,6.321e+12,0,1.21109e+13,0,7.24733e+11,0,1.45795,0,7.91325,0,0.0637583,0,1.06869e-21,0,1.02285e-16,0,0.5,0,0,0,0.489747,0
51,0.51,4096,0,5.8066e+14,0,8.9938e-09,0,9.65429e-09,0,9.65429e-09,0,0.188351,0,3.24374e-16,0,2.89466e-10,0,4.98512e-25,0,6.36824e-07,0,1.09673e-21,0,1.43464e-27,0,5.40388e-48,0,2.06135,0,15,0,6.321e+12,0,10885.9,0,6.321e+12,0,1.21123e+13,0,7.21648e+11,0,1.47998,0,7.94667,0,0.065751,0,1.09673e-21,0,1.15604e-16,0,0.51,0,0,0,0.489854,0
52,0.52,4096,0,5.69528e+14,0,9.04613e-09,0,9.73166e-09,0,9.73166e-09,0,0.187846,0,3.29827e-16,0,2.89449e-10,0,5.08226e-25,0,6.36788e-07,0,1.1181e-21,0,1.46875e-27,0,5.67841e-48,0,2.09378,0,15,0,6.321e+12,0,11098.7,0,6.321e+12,0,1.21134e+13,0,7.19385e+11,0,1.49626,0,7.9662,0,0.0667638,0,1.1181e-21,0,1.01128e-16,0,0.52,0,0,0,0.489915,0
53,0.53,4096,0,5.56319e+14,0,9.11064e-09,0,9.82461e-09,0,9.82461e-09,0,0.187165,0,3.36434e-16,0,2.89429e-10,0,5.20258e-25,0,6.36744e-07,0,1.14457e-21,0,1.51044e-27,0,6.00473e-48,0,2.12906,0,15,0,6.321e+12,0,11362.2,0,6.321e+12,0,1.21146e+13,0,7.16661e+11,0,1.51705,0,7.99272,0,0.0682076,0,1.14457e-21,0,1.12782e-16,0,0.53,0,0,0,0.489997,0
54,0.54,4096,0,5.47274e+14,0,9.15234e-09,0,9.88886e-09,0,9.88886e-09,0,0.186735,0,3.41209e-16,0,2.89414e-10,0,5.28828e-25,0,6.3671e-07,0,1.16342e-21,0,1.54418e-27,0,6.27959e-48,0,2.15422,0,15,0,6.321e+12,0,11550,0,6.321e+12,0,1.21156e+13,0,7.14592e+11,0,1.53033,0,8.00814,0,0.0685772,0,1.16342e-21,0,1.06738e-16,0,0.54,0,0,0,0.490042,0
55,0.55,4096,0,5.37637e+14,0,9.19618e-09,0,9.95697e-09,0,9.95697e-09,0,0.18621,0,3.46349e-16,0,2.89398e-10,0,5.38277e-25,0,6.36676e-07,0,1.18421e-21,0,1.58016e-27,0,6.58197e-48,0,2.17719,0,15,0,6.321e+12,0,11757,0,6.321e+12,0,1.21165e+13,0,7.12452e+11,0,1.54652,0,8.01996,0,0.069579,0,1.18421e-21,0,1.14748e-16,0,0.55,0,0,0,0.490079,0
56,0.56,4096,0,5.25601e+14,0,9.26518e-09,0,1.00546e-08,0,1.00546e-08,0,0.185583,0,3.53088e-16,0,2.8938e-10,0,5.5057e-25,0,6.36636e-07,0,1.21125e-21,0,1.61476e-27,0,6.84908e-48,0,2.21463,0,15,0,6.321e+12,0,12026.2,0,6.321e+12,0,1.21176e+13,0,7.1001e+11,0,1.56479,0,8.05276,0,0.0703315,0,1.21125e-21,0,1.13929e-16,0,0.56,0,0,0,0.490171,0
57,0.57,4096,0,5.19557e+14,0,9.2903e-09,0,1.00987e-08,0,1.00987e-08,0,0.185304,0,3.56657e-16,0,2.89369e-10,0,5.56954e-25,0,6.36612e-07,0,1.2253e-21,0,1.64397e-27,0,7.10247e-48,0,2.23086,0,15,0,6.321e+12,0,12166.1,0,6.321e+12,0,1.21183e+13,0,7.08555e+11,0,1.5745,0,8.05869,0,0.0697158,0,1.2253e-21,0,8.9951e-17,0,0.57,0,0,0,0.490184,0
58,0.58,4096,0,5.11094e+14,0,9.33436e-09,0,1.01655e-08,0,1.01655e-08,0,0.184824,0,3.61625e-16,0,2.89355e-10,0,5.66149e-25,0,6.36581e-07,0,1.24553e-21,0,1.67602e-27,0,7.39826e-48,0,2.25421,0,15,0,6.321e+12,0,12367.6,0,6.321e+12,0,1.21191e+13,0,7.06704e+11,0,1.59024,0,8.0734,0,0.0702836,0,1.24553e-21,0,8.70711e-17,0,0.58,0,0,0,0.490227,0
59,0.59,4096,0,5.01934e+14,0,9.38803e-09,0,1.02426e-08,0,1.02426e-08,0,0.184304,0,3.67188e-16,0,2.89341e-10,0,5.76452e-25,0,6.3655e-07,0,1.26819e-21,0,1.709e-27,0,7.68595e-48,0,2.28448,0,15,0,6.321e+12,0,12593.3,0,6.321e+12,0,1.212e+13,0,7.04763e+11,0,1.60861,0,8.09467,0,0.0715889,0,1.26819e-21,0,1.09453e-16,0,0.59,0,0,0,0.490294,0
60,0.6,4096,0,4.95073e+14,0,9.42373e-09,0,1.02993e-08,0,1.02993e-08,0,0.183947,0,3.71555e-16,0,2.89329e-10,0,5.84417e-25,0,6.36524e-07,0,1.28572e-21,0,1.73852e-27,0,7.94629e-48,0,2.30488,0,15,0,6.321e+12,0,12767.8,0,6.321e+12,0,1.21206e+13,0,7.03207e+11,0,1.62299,0,8.1019,0,0.0726978,0,1.28572e-21,0,9.9172e-17,0,0.6,0,0,0,0.490325,0
61,0.61,4096,0,4.87609e+14,0,9.46422e-09,0,1.03635e-08,0,1.03635e-08,0,0.183567,0,3.76463e-16,0,2.89318e-10,0,5.93341e-25,0,6.36499e-07,0,1.30535e-21,0,1.77184e-27,0,8.26045e-48,0,2.32844,0,15,0,6.321e+12,0,12963.3,0,6.321e+12,0,1.21212e+13,0,7.01761e+11,0,1.63928,0,8.11162,0,0.0737399,0,1.30535e-21,0,8.9625e-17,0,0.61,0,0,0,0.490359,0
62,0.62,4096,0,4.7957e+14,0,9.50984e-09,0,1.04335e-08,0,1.04335e-08,0,0.183105,0,3.81811e-16,0,2.89306e-10,0,6.03262e-25,0,6.36473e-07,0,1.32718e-21,0,1.80787e-27,0,8.60152e-48,0,2.35546,0,15,0,6.321e+12,0,13180.6,0,6.321e+12,0,1.21219e+13,0,7.00212e+11,0,1.65836,0,8.12394,0,0.0748184,0,1.32718e-21,0,1.11776e-16,0,0.62,0,0,0,0.490402,0
63,0.63,4096,0,4.70056e+14,0,9.56649e-09,0,1.05208e-08,0,1.05208e-08,0,0.182616,0,3.88499e-16,0,2.89292e-10,0,6.15442e-25,0,6.36443e-07,0,1.35397e-21,0,1.85099e-27,0,9.0029e-48,0,2.38503,0,15,0,6.321e+12,0,13447.3,0,6.321e+12,0,1.21227e+13,0,6.98359e+11,0,1.68033,0,8.14171,0,0.0762623,0,1.35397e-21,0,1.04362e-16,0,0.63,0,0,0,0.490458,0
64,0.64,4096,0,4.62076e+14,0,9.61528e-09,0,1.05962e-08,0,1.05962e-08,0,0.182166,0,3.94233e-16,0,2.89279e-10,0,6.26043e-25,0,6.36414e-07,0,1.3773e-21,0,1.88299e-27,0,9.27414e-48,0,2.4134,0,15,0,6.321e+12,0,13679.6,0,6.321e+12,0,1.21235e+13,0,6.96632e+11,0,1.6976,0,8.15926,0,0.0759512,0,1.3773e-21,0,1.18376e-16,0,0.64,0,0,0,0.490501,0
65,0.65,4096,0,4.53604e+14,0,9.67203e-09,0,1.06797e-08,0,1.06797e-08,0,0.181637,0,4.00431e-16,0,2.89264e-10,0,6.37702e-25,0,6.36382e-07,0,1.40294e-21,0,1.91926e-27,0,9.64536e-48,0,2.44468,0,16,0,6.321e+12,0,13935.1,0,6.321e+12,0,1.21244e+13,0,6.94604e+11,0,1.71743,0,8.17907,0,0.0775706,0,1.40294e-21,0,1.10467e-16,0,0.65,0,0,0,0.490563,0
66,0.66,4096,0,4.45972e+14,0,9.71832e-09,0,1.07557e-08,0,1.07557e-08,0,0.181304,0,4.06538e-16,0,2.89251e-10,0,6.48585e-25,0,6.36351e-07,0,1.42689e-21,0,1.95991e-27,0,1.00618e-47,0,2.46904,0,16,0,6.321e+12,0,14173.5,0,6.321e+12,0,1.21252e+13,0,6.92798e+11,0,1.73447,0,8.19277,0,0.0785397,0,1.42689e-21,0,9.76484e-17,0,0.66,0,0,0,0.490603,0
67,0.67,4096,0,4.37751e+14,0,9.77562e-09,0,1.08447e-08,0,1.08447e-08,0,0.180896,0,4.1324e-16,0,2.89239e-10,0,6.60738e-25,0,6.36325e-07,0,1.45362e-21,0,1.99697e-27,0,1.04312e-47,0,2.50169,0,16,0,6.321e+12,0,14439.7,0,6.321e+12,0,1.21259e+13,0,6.91202e+11,0,1.75759,0,8.20759,0,0.0800004,0,1.45362e-21,0,1.17724e-16,0,0.67,0,0,0,0.490659,0
68,0.68,4096,0,4.31571e+14,0,9.81566e-09,0,1.09071e-08,0,1.09071e-08,0,0.180543,0,4.1834e-16,0,2.89227e-10,0,6.70174e-25,0,6.363e-07,0,1.47438e-21,0,2.03486e-27,0,1.08188e-47,0,2.52397,0,17,0,6.321e+12,0,14646.5,0,6.321e+12,0,1.21265e+13,0,6.89734e+11,0,1.77164,0,8.22446,0,0.0799664,0,1.47438e-21,0,9.82936e-17,0,0.68,0,0,0,0.490704,0
69,0.69,4096,0,4.23519e+14,0,9.8796e-09,0,1.10027e-08,0,1.10027e-08,0,0.180143,0,4.25349e-16,0,2.89215e-10,0,6.82885e-25,0,6.36272e-07,0,1.50235e-21,0,2.06778e-27,0,1.11401e-47,0,2.55917,0,17,0,6.321e+12,0,14925,0,6.321e+12,0,1.21273e+13,0,6.88033e+11,0,1.79321,0,8.24918,0,0.080804,0,1.50235e-21,0,1.10991e-16,0,0.69,0,0,0,0.490781,0
70,0.7,4096,0,4.17249e+14,0,9.92134e-09,0,1.10708e-08,0,1.10708e-08,0,0.179783,0,4.30876e-16,0,2.89204e-10,0,6.9312e-25,0,6.36248e-07,0,1.52486e-21,0,2.10461e-27,0,1.15148e-47,0,2.58132,0,18,0,6.321e+12,0,15149.2,0,6.321e+12,0,1.21279e+13,0,6.86596e+11,0,1.81271,0,8.2572,0,0.0819366,0,1.52486e-21,0,9.96804e-17,0,0.7,0,0,0,0.490814,0
71,0.71,4096,0,4.09382e+14,0,9.98022e-09,0,1.11627e-08,0,1.11627e-08,0,0.179344,0,4.38085e-16,0,2.8919e-10,0,7.06407e-25,0,6.36219e-07,0,1.55409e-21,0,2.14531e-27,0,1.19463e-47,0,2.6129,0,18,0,6.321e+12,0,15440.3,0,6.321e+12,0,1.21287e+13,0,6.84852e+11,0,1.83719,0,8.27264,0,0.0841415,0,1.55409e-21,0,1.26988e-16,0,0.71,0,0,0,0.490868,0
72,0.72,4096,0,4.02283e+14,0,1.00292e-08,0,1.1242e-08,0,1.1242e-08,0,0.178885,0,4.44675e-16,0,2.89179e-10,0,7.18844e-25,0,6.36193e-07,0,1.58146e-21,0,2.19266e-27,0,1.24936e-47,0,2.63821,0,18,0,6.321e+12,0,15712.8,0,6.321e+12,0,1.21293e+13,0,6.83299e+11,0,1.85989,0,8.28392,0,0.084936,0,1.58146e-21,0,1.22015e-16,0,0.72,0,0,0,0.490905,0
73,0.73,4096,0,3.95941e+14,0,1.00769e-08,0,1.13177e-08,0,1.13177e-08,0,0.178502,0,4.50831e-16,0,2.89166e-10,0,7.30327e-25,0,6.36166e-07,0,1.60672e-21,0,2.2326e-27,0,1.29619e-47,0,2.66254,0,18,0,6.321e+12,0,15964.5,0,6.321e+12,0,1.213e+13,0,6.81704e+11,0,1.87946,0,8.29601,0,0.0863078,0,1.60672e-21,0,1.04988e-16,0,0.73,0,0,0,0.490946,0
74,0.74,4096,0,3.91973e+14,0,1.01026e-08,0,1.13638e-08,0,1.13638e-08,0,0.178294,0,4.54863e-16,0,2.89158e-10,0,7.37699e-25,0,6.36147e-07,0,1.62294e-21,0,2.26299e-27,0,1.33073e-47,0,2.67729,0,18,0,6.321e+12,0,16126.1,0,6.321e+12,0,1.21304e+13,0,6.80611e+11,0,1.89052,0,8.30154,0,0.0858077,0,1.62294e-21,0,1.01828e-16,0,0.74,0,0,0,0.490961,0
75,0.75,4096,0,3.85221e+14,0,1.01598e-08,0,1.14521e-08,0,1.14521e-08,0,0.177888,0,4.61782e-16,0,2.89147e-10,0,7.50601e-25,0,6.36124e-07,0,1.65132e-21,0,2.3043e-27,0,1.37976e-47,0,2.70734,0,18,0,6.321e+12,0,16408.8,0,6.321e+12,0,1.2131e+13,0,6.79235e+11,0,1.9141,0,8.31804,0,0.0872185,0,1.65132e-21,0,1.24347e-16,0,0.75,0,0,0,0.491019,0
76,0.76,4096,0,3.78298e+14,0,1.02192e-08,0,1.15451e-08,0,1.15451e-08,0,0.177462,0,4.69105e-16,0,2.89137e-10,0,7.64309e-25,0,6.36101e-07,0,1.68148e-21,0,2.34616e-27,0,1.43141e-47,0,2.73981,0,19,0,6.321e+12,0,16709,0,6.321e+12,0,1.21316e+13,0,6.77873e+11,0,1.93924,0,8.33399,0,0.0881269,0,1.68148e-21,0,1.29278e-16,0,0.76,0,0,0,0.491074,0
77,0.77,4096,0,3.72436e+14,0,1.02732e-08,0,1.16262e-08,0,1.16262e-08,0,0.177073,0,4.75446e-16,0,2.89125e-10,0,7.76308e-25,0,6.36076e-07,0,1.70788e-21,0,2.38178e-27,0,1.47405e-47,0,2.76983,0,19,0,6.321e+12,0,16972,0,6.321e+12,0,1.21323e+13,0,6.76383e+11,0,1.9585,0,8.35381,0,0.0889526,0,1.70788e-21,0,1.00324e-16,0,0.77,0,0,0,0.491136,0
78,0.78,4096,0,3.67019e+14,0,1.03191e-08,0,1.16972e-08,0,1.16972e-08,0,0.176694,0,4.8143e-16,0,2.89116e-10,0,7.87743e-25,0,6.36056e-07,0,1.73303e-21,0,2.42486e-27,0,1.52857e-47,0,2.79207,0,19,0,6.321e+12,0,17222.5,0,6.321e+12,0,1.21327e+13,0,6.75239e+11,0,1.97838,0,8.36947,0,0.0898122,0,1.73303e-21,0,1.04724e-16,0,0.78,0,0,0,0.491181,0
79,0.79,4096,0,3.59873e+14,0,1.03888e-08,0,1.18054e-08,0,1.18054e-08,0,0.17631,0,4.89923e-16,0,2.89105e-10,0,8.03353e-25,0,6.36031e-07,0,1.76738e-21,0,2.46833e-27,0,1.57679e-47,0,2.83061,0,19,0,6.321e+12,0,17564.5,0,6.321e+12,0,1.21334e+13,0,6.73745e+11,0,2.0053,0,8.39311,0,0.0908504,0,1.76738e-21,0,1.12857e-16,0,0.79,0,0,0,0.491259,0
80,0.8,4096,0,3.56195e+14,0,1.04167e-08,0,1.18524e-08,0,1.18524e-08,0,0.176039,0,4.9422e-16,0,2.89097e-10,0,8.11628e-25,0,6.36014e-07,0,1.78558e-21,0,2.50578e-27,0,1.62795e-47,0,2.84256,0,19,0,6.321e+12,0,17745.9,0,6.321e+12,0,1.21337e+13,0,6.72801e+11,0,2.01928,0,8.39886,0,0.0915185,0,1.78558e-21,0,9.59146e-17,0,0.8,0,0,0,0.491277,0
81,0.81,4096,0,3.52952e+14,0,1.04398e-08,0,1.18945e-08,0,1.18945e-08,0,0.175813,0,4.98121e-16,0,2.89091e-10,0,8.19067e-25,0,6.36001e-07,0,1.80195e-21,0,2.53724e-27,0,1.66839e-47,0,2.85484,0,19,0,6.321e+12,0,17909,0,6.321e+12,0,1.2134e+13,0,6.72051e+11,0,2.03281,0,8.40012,0,0.0918667,0,1.80195e-21,0,1.01609e-16,0,0.81,0,0,0,0.491282,0
82,0.82,4096,0,3.4884e+14,0,1.04741e-08,0,1.19515e-08,0,1.19515e-08,0,0.175568,0,5.0329e-16,0,2.89084e-10,0,8.287e-25,0,6.35985e-07,0,1.82314e-21,0,2.57698e-27,0,1.7177e-47,0,2.87385,0,19,0,6.321e+12,0,18120,0,6.321e+12,0,1.21344e+13,0,6.7113e+11,0,2.04841,0,8.41182,0,0.0918899,0,1.82314e-21,0,1.04354e-16,0,0.82,0,0,0,0.491311,0
83,0.83,4096,0,3.4359e+14,0,1.05229e-08,0,1.20301e-08,0,1.20301e-08,0,0.175242,0,5.10034e-16,0,2.89075e-10,0,8.41337e-25,0,6.35964e-07,0,1.85094e-21,0,2.62248e-27,0,1.77826e-47,0,2.90036,0,19,0,6.321e+12,0,18396.9,0,6.321e+12,0,1.21349e+13,0,6.69938e+11,0,2.06947,0,8.4259,0,0.0927458,0,1.85094e-21,0,1.02592e-16,0,0.83,0,0,0,0.491354,0
84,0.84,4096,0,3.38208e+14,0,1.05765e-08,0,1.21172e-08,0,1.21172e-08,0,0.174968,0,5.17339e-16,0,2.89066e-10,0,8.54701e-25,0,6.35946e-07,0,1.88034e-21,0,2.66274e-27,0,1.83192e-47,0,2.92844,0,19,0,6.321e+12,0,18689.7,0,6.321e+12,0,1.21353e+13,0,6.6889e+11,0,2.09076,0,8.44281,0,0.0934726,0,1.88034e-21,0,9.26739e-17,0,0.84,0,0,0,0.491396,0
85,0.85,4096,0,3.33898e+14,0,1.062e-08,0,1.2185e-08,0,1.2185e-08,0,0.17463,0,5.23003e-16,0,2.89059e-10,0,8.6571e-25,0,6.35929e-07,0,1.90456e-21,0,2.69592e-27,0,1.87072e-47,0,2.95059,0,19,0,6.321e+12,0,18930.9,0,6.321e+12,0,1.21357e+13,0,6.67939e+11,0,2.11102,0,8.4549,0,0.0942059,0,1.90456e-21,0,1.02431e-16,0,0.85,0,0,0,0.491438,0
86,0.86,4096,0,3.31645e+14,0,1.06372e-08,0,1.22161e-08,0,1.22161e-08,0,0.174463,0,5.26053e-16,0,2.89054e-10,0,8.71578e-25,0,6.35919e-07,0,1.91747e-21,0,2.72719e-27,0,1.92017e-47,0,2.96142,0,19,0,6.321e+12,0,19059.6,0,6.321e+12,0,1.21359e+13,0,6.67404e+11,0,2.12184,0,8.45588,0,0.0949934,0,1.91747e-21,0,9.26e-17,0,0.86,0,0,0,0.491445,0
87,0.87,4096,0,3.26075e+14,0,1.07014e-08,0,1.23135e-08,0,1.23135e-08,0,0.174114,0,5.33969e-16,0,2.89046e-10,0,8.86438e-25,0,6.35901e-07,0,1.95016e-21,0,2.77217e-27,0,1.98262e-47,0,2.99911,0,20,0,6.321e+12,0,19385.1,0,6.321e+12,0,1.21364e+13,0,6.66304e+11,0,2.14703,0,8.48002,0,0.0959483,0,1.95016e-21,0,1.07217e-16,0,0.87,0,0,0,0.491518,0
88,0.88,4096,0,3.21944e+14,0,1.07448e-08,0,1.23848e-08,0,1.23848e-08,0,0.173882,0,5.40102e-16,0,2.89039e-10,0,8.97793e-25,0,6.35885e-07,0,1.97514e-21,0,2.80873e-27,0,2.03105e-47,0,3.02394,0,20,0,6.321e+12,0,19633.9,0,6.321e+12,0,1.21367e+13,0,6.65429e+11,0,2.16611,0,8.49223,0,0.0964216,0,1.97514e-21,0,1.20149e-16,0,0.88,0,0,0,0.491556,0
89,0.89,4096,0,3.1815e+14,0,1.07804e-08,0,1.24445e-08,0,1.24445e-08,0,0.17359,0,5.45625e-16,0,2.89032e-10,0,9.08479e-25,0,6.35871e-07,0,1.99865e-21,0,2.85973e-27,0,2.12111e-47,0,3.03826,0,20,0,6.321e+12,0,19868,0,6.321e+12,0,1.2137e+13,0,6.64653e+11,0,2.18323,0,8.50246,0,0.0964901,0,1.99865e-21,0,9.88679e-17,0,0.89,0,0,0,0.491579,0
90,0.9,4096,0,3.11795e+14,0,1.08641e-08,0,1.25723e-08,0,1.25723e-08,0,0.173261,0,5.55687e-16,0,2.89023e-10,0,9.26963e-25,0,6.3585e-07,0,2.03932e-21,0,2.90038e-27,0,2.17742e-47,0,3.08194,0,20,0,6.321e+12,0,20272.9,0,6.321e+12,0,1.21375e+13,0,6.63419e+11,0,2.21483,0,8.53226,0,0.0981304,0,2.03932e-21,0,1.12856e-16,0,0.9,0,0,0,0.491672,0
91,0.91,4096,0,3.07668e+14,0,1.09166e-08,0,1.26531e-08,0,1.26531e-08,0,0.172989,0,5.62258e-16,0,2.89016e-10,0,9.39377e-25,0,6.35835e-07,0,2.06663e-21,0,2.93423e-27,0,2.22662e-47,0,3.10961,0,20,0,6.321e+12,0,20544.9,0,6.321e+12,0,1.21379e+13,0,6.62566e+11,0,2.23422,0,8.55313,0,0.0983813,0,2.06663e-21,0,1.03665e-16,0,0.91,0,0,0,0.491728,0
92,0.92,4096,0,3.04971e+14,0,1.09391e-08,0,1.26946e-08,0,1.26946e-08,0,0.172771,0,5.66517e-16,0,2.89011e-10,0,9.47667e-25,0,6.35824e-07,0,2.08487e-21,0,2.97537e-27,0,2.30058e-47,0,3.11897,0,20,0,6.321e+12,0,20726.6,0,6.321e+12,0,1.21381e+13,0,6.61972e+11,0,2.24751,0,8.55751,0,0.0982825,0,2.08487e-21,0,9.49235e-17,0,0.92,0,0,0,0.491732,0
93,0.93,4096,0,3.01872e+14,0,1.09637e-08,0,1.27438e-08,0,1.27438e-08,0,0.172547,0,5.7159e-16,0,2.89005e-10,0,9.57374e-25,0,6.3581e-07,0,2.10622e-21,0,3.01594e-27,0,2.35579e-47,0,3.12844,0,20,0,6.321e+12,0,20939.3,0,6.321e+12,0,1.21384e+13,0,6.61205e+11,0,2.26516,0,8.55683,0,0.0980236,0,2.10622e-21,0,9.46822e-17,0,0.93,0,0,0,0.491733,0
94,0.94,4096,0,2.98595e+14,0,1.09952e-08,0,1.28008e-08,0,1.28008e-08,0,0.172323,0,5.77113e-16,0,2.88998e-10,0,9.6786e-25,0,6.35796e-07,0,2.12929e-21,0,3.06028e-27,0,2.42709e-47,0,3.14462,0,20,0,6.321e+12,0,21169.1,0,6.321e+12,0,1.21387e+13,0,6.60377e+11,0,2.28243,0,8.56291,0,0.0975426,0,2.12929e-21,0,9.60726e-17,0,0.94,0,0,0,0.491748,0
95,0.95,4096,0,2.93246e+14,0,1.10691e-08,0,1.2913e-08,0,1.2913e-08,0,0.171931,0,5.86301e-16,0,2.88988e-10,0,9.85477e-25,0,6.35773e-07,0,2.16805e-21,0,3.10716e-27,0,2.50294e-47,0,3.1812,0,20,0,6.321e+12,0,21555.2,0,6.321e+12,0,1.21393e+13,0,6.59002e+11,0,2.30922,0,8.59299,0,0.0979038,0,2.16805e-21,0,1.16513e-16,0,0.95,0,0,0,0.491829,0
96,0.96,4096,0,2.88943e+14,0,1.1125e-08,0,1.30028e-08,0,1.30028e-08,0,0.171623,0,5.93969e-16,0,2.88981e-10,0,1.00013e-24,0,6.35758e-07,0,2.20029e-21,0,3.14478e-27,0,2.55234e-47,0,3.21225,0,20,0,6.321e+12,0,21876.3,0,6.321e+12,0,1.21396e+13,0,6.58172e+11,0,2.3344,0,8.60899,0,0.0984365,0,2.20029e-21,0,1.06228e-16,0,0.96,0,0,0,0.491878,0
97,0.97,4096,0,2.85184e+14,0,1.11749e-08,0,1.30827e-08,0,1.30827e-08,0,0.17138,0,6.00947e-16,0,2.88975e-10,0,1.01329e-24,0,6.35744e-07,0,2.22924e-21,0,3.18652e-27,0,2.62124e-47,0,3.24034,0,20,0,6.321e+12,0,22164.6,0,6.321e+12,0,1.21399e+13,0,6.57418e+11,0,2.35648,0,8.62479,0,0.0993216,0,2.22924e-21,0,9.65923e-17,0,0.97,0,0,0,0.491927,0
98,0.98,4096,0,2.82095e+14,0,1.1211e-08,0,1.31476e-08,0,1.31476e-08,0,0.171217,0,6.06949e-16,0,2.88969e-10,0,1.02437e-24,0,6.35732e-07,0,2.25361e-21,0,3.22383e-27,0,2.68177e-47,0,3.25744,0,20,0,6.321e+12,0,22407.4,0,6.321e+12,0,1.21402e+13,0,6.56742e+11,0,2.37496,0,8.63028,0,0.0996443,0,2.25361e-21,0,9.69356e-17,0,0.98,0,0,0,0.491944,0
99,0.99,4096,0,2.79278e+14,0,1.12401e-08,0,1.31993e-08,0,1.31993e-08,0,0.170936,0,6.12064e-16,0,2.88963e-10,0,1.03468e-24,0,6.35719e-07,0,2.2763e-21,0,3.26422e-27,0,2.74858e-47,0,3.27258,0,20,0,6.321e+12,0,22633.4,0,6.321e+12,0,1.21405e+13,0,6.56042e+11,0,2.39325,0,8.63264,0,0.100442,0,2.2763e-21,0,1.39859e-16,0,0.99,0,0,0,0.491953,0
100,1,4096,0,2.76516e+14,0,1.1275e-08,0,1.32582e-08,0,1.32582e-08,0,0.17074,0,6.17471e-16,0,2.88957e-10,0,1.04499e-24,0,6.35706e-07,0,2.29899e-21,0,3.29535e-27,0,2.79859e-47,0,3.29294,0,20,0,6.321e+12,0,22859.5,0,6.321e+12,0,1.21407e+13,0,6.55292e+11,0,2.40822,0,8.64375,0,0.100342,0,2.29899e-21,0,1.00176e-16,0,1,0,0,0,0.491976,0